            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460564.500000000, A.D. 2024-Sep-11 00:00:00.0000,  1.465655922285751E+08, -3.090081765115747E+07,  2.990940939954668E+04,  5.496542867295283E+00,  2.906355100858640E+01, -1.500886757481723E-03,
2460565.500000000, A.D. 2024-Sep-12 00:00:00.0000,  1.470190500259790E+08, -2.838557901682893E+07,  2.976899381621554E+04,  4.999946249023960E+00,  2.915814284507573E+01, -1.752967587655974E-03,
2460566.500000000, A.D. 2024-Sep-13 00:00:00.0000,  1.474295480142359E+08, -2.586253519344882E+07,  2.960604802533053E+04,  4.502136331472522E+00,  2.924424181072474E+01, -2.020523942944052E-03,
2460567.500000000, A.D. 2024-Sep-14 00:00:00.0000,  1.477969897284941E+08, -2.333241556517469E+07,  2.941977095303126E+04,  4.003302532661918E+00,  2.932195531727865E+01, -2.290622701590195E-03,
2460568.500000000, A.D. 2024-Sep-15 00:00:00.0000,  1.481212937297345E+08, -2.079593881777776E+07,  2.921061546744592E+04,  3.503600203623432E+00,  2.939142301382274E+01, -2.547194053249768E-03,
2460569.500000000, A.D. 2024-Sep-16 00:00:00.0000,  1.484023898340683E+08, -1.825381046087128E+07,  2.898053936862573E+04,  3.003131265794320E+00,  2.945280772697817E+01, -2.771671409412590E-03,
2460570.500000000, A.D. 2024-Sep-17 00:00:00.0000,  1.486402137249148E+08, -1.570672168026721E+07,  2.873315013044327E+04,  2.501927558379899E+00,  2.950627338722733E+01, -2.944857163647896E-03,
2460571.500000000, A.D. 2024-Sep-18 00:00:00.0000,  1.488347005917800E+08, -1.315535064154588E+07,  2.847363356348313E+04,  1.999946693521160E+00,  2.955195121457362E+01, -3.049998148767941E-03,
2460572.500000000, A.D. 2024-Sep-19 00:00:00.0000,  1.489857792757648E+08, -1.060036691156319E+07,  2.820838975781156E+04,  1.497088803006391E+00,  2.958990360264137E+01, -3.076288554986206E-03,
2460573.500000000, A.D. 2024-Sep-20 00:00:00.0000,  1.490933687916664E+08, -8.042438557536193E+06,  2.794439753644634E+04,  9.932336827985495E-01,  2.962010082191356E+01, -3.021403497971420E-03,
2460574.500000000, A.D. 2024-Sep-21 00:00:00.0000,  1.491573785285154E+08, -5.482240251602566E+06,  2.768844789226982E+04,  4.882859604812589E-01,  2.964242210085382E+01, -2.891871401242696E-03,
2460575.500000000, A.D. 2024-Sep-22 00:00:00.0000,  1.491777120598667E+08, -2.920460206020223E+06,  2.744644733299769E+04, -1.778921991868061E-02,  2.965668031804787E+01, -2.701174537378392E-03,
2460576.500000000, A.D. 2024-Sep-23 00:00:00.0000,  1.491542731840858E+08, -3.578043770283720E+05,  2.722294923716578E+04, -5.249511383033594E-01,  2.966265795339324E+01, -2.466598989364854E-03,
2460577.500000000, A.D. 2024-Sep-24 00:00:00.0000,  1.490869723618170E+08,  2.205002383539291E+06,  2.702096181296452E+04, -1.033088363968550E+00,  2.966013971947748E+01, -2.206182790432720E-03,
2460578.500000000, A.D. 2024-Sep-25 00:00:00.0000,  1.489757321710230E+08,  4.767217521947255E+06,  2.684198197899805E+04, -1.542034945835813E+00,  2.964893353774964E+01, -1.936618349690278E-03,
2460579.500000000, A.D. 2024-Sep-26 00:00:00.0000,  1.488204912166256E+08,  7.328083243334631E+06,  2.668616185284732E+04, -2.051588701844532E+00,  2.962887929828060E+01, -1.672256528895133E-03,
2460580.500000000, A.D. 2024-Sep-27 00:00:00.0000,  1.486212065856743E+08,  9.886829333106443E+06,  2.655252354866173E+04, -2.561526031738111E+00,  2.959984922921918E+01, -1.424918290512167E-03,
2460581.500000000, A.D. 2024-Sep-28 00:00:00.0000,  1.483778552429353E+08,  1.244267581222163E+07,  2.643916975664161E+04, -3.071611610301166E+00,  2.956174435178304E+01, -1.204119355774580E-03,
2460582.500000000, A.D. 2024-Sep-29 00:00:00.0000,  1.480904347884940E+08,  1.499483523890648E+07,  2.634346849452984E+04, -3.581603691782124E+00,  2.951449024012428E+01, -1.017404324207050E-03,
2460583.500000000, A.D. 2024-Sep-30 00:00:00.0000,  1.477589638906848E+08,  1.754251467830233E+07,  2.626221075146552E+04, -4.091256595456341E+00,  2.945803373491751E+01, -8.706225026866576E-04,
2460584.500000000, A.D. 2024-Oct-01 00:00:00.0000,  1.473834825703925E+08,  2.008491744903174E+07,  2.619174919644743E+04, -4.600321881694777E+00,  2.939234107015263E+01, -7.680877433440259E-04,
2460585.500000000, A.D. 2024-Oct-02 00:00:00.0000,  1.469640523996872E+08,  2.262124476185428E+07,  2.612812784659304E+04, -5.108549295091821E+00,  2.931739717288038E+01, -7.126334375655574E-04,
2460586.500000000, A.D. 2024-Oct-03 00:00:00.0000,  1.465007566070974E+08,  2.515069732938550E+07,  2.606720997687802E+04, -5.615688034221662E+00,  2.923320559555627E+01, -7.056067377391173E-04,
2460587.500000000, A.D. 2024-Oct-04 00:00:00.0000,  1.459937000541118E+08,  2.767247697716084E+07,  2.600480734981224E+04, -6.121488447249056E+00,  2.913978853576629E+01, -7.468512206543210E-04,
2460588.500000000, A.D. 2024-Oct-05 00:00:00.0000,  1.454430090539732E+08,  3.018578824673637E+07,  2.593681013111025E+04, -6.625703933707342E+00,  2.903718659889016E+01, -8.347119490448307E-04,
2460589.500000000, A.D. 2024-Oct-06 00:00:00.0000,  1.448488310295340E+08,  3.268983996474328E+07,  2.585931505189463E+04, -7.128092713434739E+00,  2.892545826893716E+01, -9.660695638853412E-04,
2460590.500000000, A.D. 2024-Oct-07 00:00:00.0000,  1.442113340334415E+08,  3.518384676247221E+07,  2.576875009152852E+04, -7.628419223871736E+00,  2.880467935872933E+01, -1.136380846940455E-03,
2460591.500000000, A.D. 2024-Oct-08 00:00:00.0000,  1.435307061632022E+08,  3.766703056343481E+07,  2.566199688825198E+04, -8.126455196175199E+00,  2.867494290188250E+01, -1.339682675750353E-03,
2460592.500000000, A.D. 2024-Oct-09 00:00:00.0000,  1.428071548822759E+08,  4.013862209755788E+07,  2.553651609197445E+04, -8.621980867186666E+00,  2.853635993874449E+01, -1.568513180346898E-03,
2460593.500000000, A.D. 2024-Oct-10 00:00:00.0000,  1.420409062000924E+08,  4.259786253000012E+07,  2.539048415600136E+04, -9.114787213807555E+00,  2.838906137474206E+01, -1.813724820156182E-03,
2460594.500000000, A.D. 2024-Oct-11 00:00:00.0000,  1.412322035717745E+08,  4.504400528489725E+07,  2.522295027850010E+04, -9.604680424691619E+00,  2.823320049689305E+01, -2.064215340384479E-03,
2460595.500000000, A.D. 2024-Oct-12 00:00:00.0000,  1.403813062693398E+08,  4.747631806992285E+07,  2.503401645242795E+04, -1.009148984080668E+01,  2.806895477964019E+01, -2.306690054625804E-03,
2460596.500000000, A.D. 2024-Oct-13 00:00:00.0000,  1.394884868920236E+08,  4.989408493693688E+07,  2.482502875826135E+04, -1.057507992444838E+01,  2.789652437426832E+01, -2.525689071294579E-03,
